Well #,Start,Rainfall (mm),Intensity (mm/h),start WTD (cm),?WT (mm),Sy,,,,,,,,
27,15/06/2009 15:00,6.6,3.3,-56.63,150.70,0.04379562,,,,,,,,
27,20/06/2009 20:00,7.1,0.59,-60.93,49.40,0.143724696,,,,,,,,
27,21/06/2009 19:00,8.6,0.96,-57.64,384.00,0.022395833,,,,,,,,
27,22/06/2009 19:00,6.1,1.52,-22.96,59.80,0.102006689,,,,,,,,
27,04/07/2009 16:00,9.3,0.66,-82.36,109.90,0.084622384,,,,,,,,
27,05/07/2009 16:00,3,3,-73.59,20.40,0.147058824,,,,,,,,
27,06/07/2009 13:00,8.6,2.87,-73.09,109.90,0.078252957,,,,,,,,
27,08/07/2009 17:00,7.5,0.68,-60.86,59.00,0.127118644,,,,,,,,
27,09/07/2009 19:00,6.5,0.72,-59.32,89.40,0.072706935,,,,,,,,
27,26/07/2009 18:00,4.1,0.82,-84.83,9.40,0.436170213,,,,,,,,
27,30/07/2009 16:00,13,0.81,-78.89,174.70,0.07441328,,,,,,,,
27,02/08/2009 22:00,3.8,0.38,-69.32,16.10,0.236024845,,,,,,,,
27,03/08/2009 20:00,25.6,0.85,-68.25,232.30,0.110202325,,,,,,,,
27,05/08/2009 18:00,8,0.8,-10.16,14.30,0.559440559,,,,,,,,
27,15/08/2009 17:00,7.3,0.29,-22.73,125.30,0.058260176,,,,,,,,
27,20/09/2009 7:00,8,1.33,-102.94,20.40,0.392156863,,,,,,,,
27,30/09/2009 4:00,4,0.44,-112.32,29.70,0.134680135,,,,,,,,
27,05/10/2009 11:00,7.3,1.83,-113.53,32.50,0.224615385,,,,,,,,
30,30/08/2020 0:30,3.5,1.17,-98.44,7.80,0.448717949,,,,,,,,
30,06/09/2020 8:00,24.7,0.5,-101.25,247.80,0.099677159,,,,,,,,
38,04/07/2009 16:00,9.3,0.66,-9.29,86.40,0.107638889,,,,,,,,
38,26/07/2009 18:00,4.1,0.82,-11.25,15.50,0.264516129,,,,,,,,
38,27/07/2009 23:00,13.9,0.7,-8.49,74.60,0.186327078,,,,,,,,
38,02/08/2009 22:00,3.8,0.38,-12.51,19.90,0.190954774,,,,,,,,
38,20/09/2009 7:00,8,1.33,-54.62,232.50,0.034408602,,,,,,,,
38,30/09/2009 4:00,4,0.44,-55.35,124.10,0.032232071,,,,,,,,
38,05/10/2009 11:00,7.3,1.83,-43.59,111.70,0.065353626,,,,,,,,
44,30/06/2008 12:00,7.2,0.9,-8.64,19.80,0.363636364,,,,,,,,
44,06/07/2008 20:00,8.6,8.6,-9.8,28.40,0.302816901,,,,,,,,
44,10/07/2008 9:00,24.6,1.54,-10,50.40,0.488095238,,,,,,,,
44,18/07/2008 0:00,11.2,0.56,-10.38,33.30,0.336336336,,,,,,,,
44,03/08/2008 0:00,6.4,1.28,-21.97,45.20,0.14159292,,,,,,,,
44,05/09/2008 8:00,3,3,-16.92,29.80,0.100671141,,,,,,,,
44,07/09/2008 6:00,7.8,0.87,-16.64,9.20,0.847826087,,,,,,,,
44,04/07/2009 16:00,9.3,0.66,-7.315,33.75,0.275555556,,,,,,,,
44,06/07/2009 13:00,8.6,2.87,-2.53,18.30,0.469945355,,,,,,,,
44,08/07/2009 17:00,7.5,0.68,-1.77,13.85,0.000103875,,,,,,,,
44,03/08/2009 20:00,25.6,0.85,-9.395,9.80,0.00025088,,,,,,,,
44,01/08/2020 17:00,7.9,0.61,-47.9,185.70,0.042541734,,,,,,,,
44,07/08/2020 4:30,5.3,0.56,-62.46,128.80,0.041149068,,,,,,,,
49,15/07/2008 3:00,4.4,0.13,-20.4,99.00,0.044444444,,,,,,,,
49,22/07/2008 18:00,19,0.44,-21.14,69.50,0.273381295,,,,,,,,
49,01/09/2008 6:00,14.6,2.43,-64.97,164.20,0.088915956,,,,,,,,
49,05/09/2008 8:00,3,3,-30.71,98.10,0.03058104,,,,,,,,
49,10/09/2008 7:00,20.2,1.06,-25.15,44.50,0.453932584,,,,,,,,
49,20/06/2009 20:00,7.1,0.59,-14.7,43.90,0.161731207,,,,,,,,
49,04/07/2009 16:00,9.3,0.66,-11.74,13.80,0.673913043,,,,,,,,
49,05/07/2009 16:00,3,3,-12.32,43.10,0.069605568,,,,,,,,
49,08/07/2009 17:00,7.5,0.68,-13.16,14.80,0.506756757,,,,,,,,
49,09/07/2009 19:00,6.5,0.72,-12.82,37.70,0.172413793,,,,,,,,
49,26/07/2009 18:00,4.1,0.82,-25.76,87.20,0.047018349,,,,,,,,
49,02/08/2009 22:00,3.8,0.38,-26.19,48.60,0.0781893,,,,,,,,
49,03/08/2009 20:00,25.6,0.85,-20.01,59.40,0.430976431,,,,,,,,
49,13/08/2009 2:00,21.8,0.64,-25.12,110.90,0.19657349,,,,,,,,
49,07/08/2020 4:30,5.3,0.56,-12.48,84.30,0.0628707,,,,,,,,
60A,06/07/2014 23:45,8.9,1.78,-113.16,198.40,0.044858871,,,,,,,,
60A,21/07/2014 0:15,7.2,0.67,-144.44,183.80,0.039173014,,,,,,,,
60A,03/08/2014 18:15,3.4,4.53,-126.83,15.90,0.213836478,,,,,,,,
60A,04/08/2014 14:30,5.8,0.34,-126.05,118.20,0.049069374,,,,,,,,
60A,08/08/2014 14:30,5.6,1.12,-126.61,105.70,0.052980132,,,,,,,,
60A,16/08/2014 18:45,5.3,0.48,-146.83,330.80,0.016021765,,,,,,,,
60A,28/08/2014 12:45,10.5,2.8,-114.13,205.00,0.051219512,,,,,,,,
60A,08/09/2014 3:30,6.7,0.67,-98.43,190.90,0.035096909,,,,,,,,
60A,09/09/2014 11:45,3.6,0.48,-82.69,7.90,0.455696203,,,,,,,,
60A,11/09/2014 9:30,19,3.62,-81.66,240.10,0.079133694,,,,,,,,
60A,29/06/2015 9:30,4.2,0.19,-117.64,61.40,0.068403909,,,,,,,,
60A,01/07/2015 2:00,6,8,-118.61,133.00,0.045112782,,,,,,,,
60B,14/07/2018 0:15,7.9,1.17,-38.7,237.00,0.033333333,,,,,,,,
60B,23/07/2018 23:15,11.2,0.59,-55.4,209.00,0.053588517,,,,,,,,
60B,25/07/2018 22:45,15.2,2.43,-10.9,23.00,0.660869565,,,,,,,,
60B,27/07/2018 14:30,4.9,9.8,-22.6,121.00,0.040495868,,,,,,,,
60B,18/09/2018 22:00,3.3,0.26,-57.5,63.00,0.052380952,,,,,,,,
60B,20/09/2018 13:30,10.5,0.67,-54.6,266.00,0.039473684,,,,,,,,
60B,22/09/2018 12:30,5.2,0.95,-31.3,57.00,0.09122807,,,,,,,,
60B,27/09/2018 0:15,13.2,0.87,-44.5,202.00,0.065346535,,,,,,,,
60B,03/10/2018 12:00,13.5,2.25,-34.8,23.00,0.586956522,,,,,,,,
60B,16/06/2019 19:30,8.9,0.24,-9.76,70.80,0.125706215,,,,,,,,
60B,24/07/2019 4:00,4,0.42,-16.04,29.50,0.13559322,,,,,,,,
60B,06/08/2019 16:30,4.6,0.35,-58.82,25.60,0.1796875,,,,,,,,
60B,11/08/2019 17:00,25.1,0.76,-61.82,524.00,0.047900763,,,,,,,,
60B,19/08/2019 20:30,16.1,0.84,-25.59,226.30,0.071144498,,,,,,,,
60B,30/08/2019 19:00,26.2,0.92,-58.54,509.40,0.051433059,,,,,,,,
60B,20/09/2019 16:30,9.7,0.45,-44.54,371.00,0.026145553,,,,,,,,
60B,17/06/2020 4:30,13.2,0.25,-8.58,65.30,0.202143951,,,,,,,,
60B,27/06/2020 5:30,25.9,0.47,-19.18,162.70,0.159188691,,,,,,,,
60B,07/07/2020 13:30,14.1,0.56,-18.74,177.30,0.079526227,,,,,,,,
60B,24/07/2020 2:30,6.1,0.22,-57.83,219.70,0.027765134,,,,,,,,
60B,30/07/2020 18:30,10.7,1.19,-74.66,295.80,0.03617309,,,,,,,,
60B,01/08/2020 17:00,7.9,0.61,-63.56,203.70,0.038782523,,,,,,,,
60B,07/08/2020 4:30,5.3,0.56,-77.09,29.00,0.182758621,,,,,,,,
61,10/07/2017 6:15,3.4,0.76,-43.01,116.90,0.029084688,,,,,,,,
61,10/07/2017 15:45,16.6,1.9,-41.41,137.20,0.120991254,,,,,,,,
61,11/07/2017 7:30,12.5,2.38,-32.09,44.00,0.284090909,,,,,,,,
61,23/07/2017 23:30,3.6,1.03,-46.18,33.40,0.107784431,,,,,,,,
62,10/07/2017 6:15,3.4,0.76,-22.34,137.80,0.02467344,,,,,,,,
62,10/07/2017 15:45,16.6,1.9,-19.99,153.50,0.108143322,,,,,,,,
62,11/07/2017 7:30,12.5,2.38,-8.83,41.90,0.298329356,,,,,,,,
62,23/07/2017 23:30,3.6,1.03,-26.36,30.50,0.118032787,,,,,,,,
62,01/08/2020 17:00,7.9,0.61,-3.12,28.10,0.28113879,,,,,,,,
62,07/08/2020 4:30,5.3,0.56,-2.59,18.50,0.286486486,,,,,,,,
62,30/08/2020 0:30,3.5,1.17,-2.32,10.90,0.321100917,,,,,,,,
62,02/09/2020 8:00,5.6,1.87,-3.58,25.60,0.21875,,,,,,,,
62,06/09/2020 8:00,24.7,0.5,-2.53,33.70,0.732937685,,,,,,,,
